Location,Count,ID
נחל עוז,16,62efb63cbd
קיבוץ כיסופים,13,93b0d6f539
קיבוץ יפתח,12,27dc30f58b
רעים,9,8a6121c2f7
חמ״ל כיסופים,2,8415145e10
כרם שלום,7,becddd236a
ישראל,159,65b3a57329
הנגב,26,cbcdc34b0c
נובה,83,383c5ce072
ים המלח,20,18385eafaf
כפר עזה,54,265dfaf687
אשקלון,11,6654cfebd6
עזה,210,76f1567f27
חורשה,2,46b955e2e7
פלורידה,1,6001586396
בית החולים סורוקה,9,8b5b8ed643
טוקטוק,2,dc2cc40a7a
ניר עוז,36,28db941765
מגן,13,f26e537245
נירים,19,f1fa23a160
עוטף עזה,123,4beae8866f
מעליי,2,cc6b4732da
iceland,1,83166cdeb7
golan,2,079fe3a237
abitbolthat,1,a8f1fd7fe9
בארי,62,121a680eee
הדרום,48,ca7463ac9e
בלגיה,1,9d49f962a2
גן אל,1,1b1a6ee871
נתב״ג,1,d946650ec3
פריגן,2,5930ce6a9b
כביש 6,1,8371ea6e7c
צומת בית קמה,13,095e9d5bf3
יכיני,4,7fdbc929ac
מועצה אזורית שער הנגב,1,de0897ccd3
גבים,10,cd6661c50b
ערבה,1,c256af909b
שער הנגב,3,c92455b7c2
שדרות,42,3bcbe819d1
כפר עציון,1,eb9db6eec9
אופקים,17,59a4a038cc
קיבוץ רעים,5,02fd67e637
צפון,37,aa43477d25
מועצה אזורית אשכול,1,7988d5cdf2
אילת,15,a072372421
ניר יצחק,6,104e3bdc71
מלון קיסר,1,7ff2ff8f0b
באר שבע,5,8b7c3b8e9f
שכונת דור,4,56f17454ff
אלונית,4,18a8604475
גבעתי,2,079ba56eae
צאלים,2,797c203491
הקרייה,3,9153445a97
גן עדן,1,67ee67b06b
ארץ ישראל,4,73933a991a
תל אביב,9,020db435ad
נתיבות,11,5e056eddbc
מלון נגה,1,d69c3ea781
america,1,f938c93da3
צומת גילת,3,b0ac66b25d
רוחמה,2,ab134645ea
ארז,15,7cfd16bb4a
צומת שער הנגב,2,ab2d6f573e
מיתר,2,9de43fae1d
יוון,2,03417f81a9
נתיב העשרה,3,e97ada0a92
העשרה,2,6c9a3754cf
בארי ,2,5bfa0dfc3a
מפלסים,8,d51cee1c3e
מעבר ארז,2,ca4c7f71cb
יד מרדכי,2,cbbb614ef8
צומת איבים,2,f0c814f1a9
גבעתיים,1,8190fab8c6
הרצועה,29,01dbc5ef76
ירדן,2,aef3605e75
gaza border,1,f0534494dd
רמת הגולן,2,eab28c71dd
קיבוץ ניר עם,2,1d45023528
ניר עם,3,ed3187da0c
שטחים,1,32a63eaaae
עדן,1,da8d6779bb
שפיים,3,425bdd96b0
שוקרון,1,80a10306b4
שילה,1,a51821332d
כרם,1,923a337b7f
אורווה,1,ea020fded5
מוצב ארז,1,291a9b0754
השפלה,1,fabb6f73a1
השטחים,1,c58ef009cb
מזרח התיכון,2,435e1b98a5
פטיש,1,91b8eba66d
רהט,1,ea05bbf379
קרית גת,3,fab0a0a8c4
הר לעמק,1,f4a621ccf6
שוקדה,2,7f18986d4f
כפר הנגיד,1,62a4a0d1d3
אשדוד,5,e6e0765e6b
אור הנר,2,3d7926c0c8
דור אלון,1,d72b947ee2
בית חולים וולפסון,2,26356b1460
וולפסון,2,f27e0a3343
דימונה,2,be2153f75d
שאלין,1,f41f99cce1
כביש שדרות,1,927bb6a2c8
אורים,3,dfe9ac87cf
בית החולים שערי צדק,1,97bb759332
איבים,1,cd839f41b7
אפגניסטן,1,726ebece24
מואב,1,177dce68a3
סעד,6,56da4365fd
קיבוץ מפלסים,2,c2fb4b1ec3
מוצב נחל עוז,2,d52694888b
צומת כפר עזה,1,f20aa902db
בית החולים איכילוב,1,d22c64763f
קריית גת,1,8a64ad1a93
צוק איתן,8,dcc73a5d39
חיפה,7,c9e5e3b334
עין השופט,1,20e4ded6ba
קיבוץ מצר,1,60cd1eb10b
קיבוץ להב,1,888ab7fe92
סעיד משה,1,2122818d49
כפר מסריק,1,c935848d7a
ברור חיל,1,b751166824
קייב,1,b91a9386ba
ז׳יטומיר,1,7616f2e3a3
מרדכי,1,4585dd088c
אוקראינה,2,1c1d299709
כביש 232,1,d1b58228b4
גוש קטיף,1,aadba10c6e
הירקון,1,bb2b10e1e0
סי טאואר,1,7728999850
קו העימות,1,f0d0d35bbb
איתמר אייכנר,1,2d47ec6352
צומת העוגן,1,992c551f19
כיכר האו״ם,1,7c44ffbb5a
ז׳נבה,1,972b926166
חוף זיקים,4,cf5e170c6e
סרי לנקה,1,dc1cd1c6d5
אירן,1,55262cc4ca
לב עזה,1,8d14243e44
טנזניה,2,66223970ce
בית החולים שיפא,4,e53b5ff83a
תאילנד,4,ac898466f0
אירלנד,1,72ff0a2dff
כיכר פלסטין,2,906d805fcf
שג׳אעיה,1,a9c1ec7bb9
ארה״ב,8,a556b595f4
הלסינקי,1,93f766359c
los angeles,1,8ecee8ea11
ירושלים,13,6602f075dc
קיבוץ חולית,3,d8bed40600
שבי,4,543f474925
מנהרות,1,77f9367b27
מושב הבונים,1,15b46faa00
כיכר ספרא,1,e97e1de67e
מישור הגפן,1,542f3f8c47
שדה בוקר,1,8c2542801a
גבול עזה,2,e3792aaf91
רחוב זאב וילנאי,1,bb798fdfae
דרום אמריקה,1,38c809a9d2
גבול הצפון,6,ac2a2ff8df
אפיק,1,237f7f5056
רמת אלון,1,aaa06cb099
דיזנגוף סנטר,1,91b8e954bf
יטבתה,1,a241794d56
בית עידן הנגב,1,802d045e63
פרי גן,1,80e556fa45
כביש שש,1,5c8581871d
עוטףעזה,1,bc5c6691ce
שנירים,1,562475d83b
מצרים,3,3c36259416
ארגנטינה,1,78e97db8c4
אנגליה,3,9d554fc2f7
צומת אשקלון,1,19b9049f9d
הרצליה,2,19fd26adf0
כביש החוף,1,2f49aa5e36
haifa,1,8349c13cbc
tel aviv university,1,90d7d6fb6c
דובאי,1,f7294695e5
פיליפינים,1,55325c7667
קוסטה ריקה,1,ddbc6b20d0
רפת,1,7cccf525c5
מודיעין,2,eeee6a938a
תקומה,1,7147be0f9d
וייטנאם,1,26f608e0ab
חץ השחור,1,558b81aec6
ביכיני,1,9a9ed338d6
סוואנה,1,9e66db4f55
סאסי,1,b53697eb49
ציר סעד מפלסים,1,0df216cf89
רימון,1,00a25385f7
בית דגן,2,4ec0f13d51
כרמל,1,cd228f0fc8
שכונת אל רמל,1,0d949b1f00
בית שאן,1,828294d170
גליל התחתון,1,df34e16543
אריתראה,1,de9b56b36c
פרדס חנה,1,ab8220cc1a
חנתון,1,bac11b3143
וואדי,1,3057e3e4d1
גבעת אלה,1,1d2dd72857
סודן,1,138fcdbcab
כפר מנדא,1,f9859afe1b
בית חולים ברזילי,1,112332728a
beach,1,7193529abb
zikim,1,0aad8270d9
תל מונד,1,0ba0b753e5
נתניה,3,185be8230b
מטולה,1,0575237629
גבול,1,91d6f60c7e
רמדה,1,017ba9ff68
קמפוס גבעת רם,1,10bcf1b768
גבעת רם,1,ec9ef96e38
רויאל,1,98e7be8b71
קריית שמונה,3,b87ca7f1b4
מלון לאונרדו,1,d737e4e868
שוויץ,1,b3755e8098
כביש צאלים אורים,1,2293aed8ae
נחל דן,1,b61de5040e
קיבוץ דן,1,bdeff23d71
גליל העליון,1,28cb146624
מושב יכיני,1,6a37c9ecf6
ערד,2,db2ad4cfc6
הים האדום,1,d569a790b4
רמי לוי,1,711a5866c0
אמדוקס,1,6e086a31b0
תל אשקלון,1,3fc1e61830
פארק הרודיון,1,7105f92578
הכנרת,1,b94936916f
עפולה,1,13bacca093
רחוב תל גיבורים,1,5a38ee9c09
ת״א,3,eb3fd75c5d
עמק המעיינות,1,9f7bb358bb
עמק,1,dd2eb1bf8f
מושב פתחיה,2,4c0ece5446
חולית ,2,33a1adf8e5
הבשור,1,7415e0941d
גבעת חביבה,1,cab4b4e6b4
גן שמואל,1,d7ed6c4634
רביבים,3,5cce4a4215
עין הבשור,4,28a44357d4
אשל הנשיא,1,dd3187589e
קיבוץ בית קמה,1,7c587911af
מעיין ברוך,3,b1b0e718e8
מעלה אדומים,1,43ecfd0492
רוסיה,1,c188722368
עין השלושה,1,35a4376468
יושיביה,1,435fe89c71
קיבוץ רביבים,1,62255fa6e1
השאנטי שב עתלית,1,1851298099
בריטניה,1,94bc1a57c6
תלמי יוסף,1,4594268a85
לונדון,3,9a5f9fc19f
שדה תימן,1,b7284cb5c7
בית החולים שיבא,2,68b9393d7d
מעבר כרם שלום,1,3ab588f08c
ראשל״צ,1,0042d6f088
ראשון לציון,3,99187dccdf
הזורע,3,80e498e4fe
יקום,3,32afd30ce5
ירוחם,2,877f6edb27
אוסטרליה,2,d4dbdd6867
אלמוג,1,57d9b660ab
רואנדה,1,c40e75b610
מרואנדה,1,d0bcbdea49
אוגנדה,1,077bdced7a
שכונת רימאל,1,340114c237
שכונת ג׳באליה,1,586cd031a8
שדה ניצן,1,4c8554bde8
סופה,2,97d4cf9fa4
עמק חפר,2,5c45f41217
קרית מוצקין,1,16b02d4beb
מושב איתן,1,a6c93bc439
עין גדי,1,d92338e8b8
יער בן שמן,2,de825ba015
כפר גלעדי,2,1e47e4a9da
עלומים,1,f6933ff077
עזוז,1,76a7ce18ea
נצרה,1,b1be5615b0
צומת סעד,1,f87d222f94
בן שמן,1,58bbe7300a
קיבוץ הזורע,1,108585c57d
יקנעם,1,5527bd0119
יודפת,1,acb701a4db
הרי ירושלים,1,5c251f7ee8
רמאללה,1,000b2c9b23
טבע,1,2b3d9a4b67
פלורנטין,1,e439534ac1
ברעם,2,a693024807
נוף גינוסר,2,f056590813
קרית שמונה,10,44a486a06c
כפר בלום,2,3bc4b17971
רמות נפתלי,2,41b2b89ecc
הצפון,2,798243d0ba
מייראון,2,48e1af932a
העימות,1,d018a88fa9
רחובות,1,f3bfebad2f
חוף ים המלח,1,c04c5dc022
מושב יבול,1,ae1809a63d
הנגב המערבי,1,f64d859622
שואה,1,2a2dba4299
נגב המערבי,1,332c49c1e2
בית החולים רנתיסי,1,e140db6d7e
יהודה ושומרון,1,e646a3f530
צרפת,2,87af0b8ee9
הולנד,1,3d89959664
איטליה,1,333ee3a938
גרמניה,2,533123581a
הצ׳ימידאן,1,5648247985
מרכז הרפואי שמיר,1,9d1a8089fb
משה שרת,1,969d33cd2b
רעות,1,d724075a2c
קריית אתא,1,83d9558983
קיבוץ סעד,1,67e0f65e5e
קיבוצים,1,9938a1e778
רמת גן,2,be0fc45f19
אשכול נגב מערבי,1,0637c1ba86
משמר הנגב,1,00b1a16aa0
גברעם,1,f58d0534b4
המלח,1,13cc4a3611
הוד השרון,1,cc83ec3201
לוס אנג׳לה,1,866a346218
בארות יצחק,1,789ae977eb
צכיה,1,448575591b
סג׳עיה,1,01916931c7
עמק החולה,1,f1b994ba7b
אסותא אשדוד,1,6ddc886ec3
מחבל אשכול,1,5733a263e2
מגבים,1,485ccafa6d
philippines,1,c894df42aa
איראן,1,eaa3a40c5f
בית החולים בלינסון,1,191331a669
אורכדיאה,1,bc6ab6c3c7
פלסטין,3,4cf02eafdb
חוף עזה,1,d8c7ae9fd3
בית חנון,1,2f87940f9f
מושב אמונים,1,f8061d3d9c
כפר סאלד,2,ae1d557403
הנוחבה,1,57f5c62901
מלון דן אכדיה,1,a08955b900
יבנה,1,961cd1dea6
uk,1,c2431a9d20
london,2,bc180dbc58
מושב נוב,1,99f288d04e
חוות הגיא,1,79bad0934d
חוף זמיר,1,e9b7619d35
מגרנות הגליל,1,e1fd73d52e
מתקן שדה תימן,1,95159b4701
iran,1,6f0a7d56c2
נוואדה,1,b95b36f5a9
מזכרת בתיה,1,966782796d
chicago,1,10189466c6
סוריה,1,610170d950
אירופה,1,6b0ce745ff
פולין,1,861e268ea0
new york city,1,0c74ab2c0a
campus,1,162832ab57
new york,1,5cbe8b23c1
carolina,1,5f3bc52216
ארידרור,1,93e8170f3a
חוף פלמחים,1,74a6ebf726
קפלן,1,c7ab447a34
ז׳נוויליה,1,ad028426d9
עתלית,1,8612355c11
פריז,1,5c19ac965d
north park,1,5a9e280d15
גבעת הפרחים,1,50be8ec6c1
הפרחים,1,5a6e967889
ניו יורק,1,c521358917
